student_id,entrance_rank,category,preferred_branch,preferred_state,annual_budget_lakhs,hostel_needed,college_id,college_name,tier,branch_id,branch_code,closing_rank,tuition_fee,avg_placement_lpa,admitted
1,6300,EWS,CSE,Delhi,2.87,1,74,Summit Jaipur College of Engineering,Tier 3,1,CSE,19578,2.84,5.84,1
2,10038,General,CE,Odisha,1.59,0,100,Imperial Bengaluru University of Engineering,Tier 3,7,CE,10606,1.73,7.94,1
3,2783,SC,EEE,Gujarat,3.97,0,97,Pioneer Indore Institute of Technology,Tier 3,5,EEE,52060,1.85,4.78,1
4,6262,General,EEE,Madhya Pradesh,3.75,0,18,College of Engineering Pune,Tier 2,5,EEE,2890,1.45,13.2,0
5,4817,SC,ME,Madhya Pradesh,5.63,1,131,Global Indore Institute of Technology,Tier 3,6,ME,40955,3.37,7.63,1
6,3739,General,CSE,Assam,4.29,0,20,PSG College of Technology,Tier 2,1,CSE,3273,1.65,12.5,1
7,24293,General,IT,Gujarat,1.97,1,11,NIT Surathkal,Tier 1,4,IT,347,1.85,16.8,0
8,5527,ST,AI_DS,Uttar Pradesh,2.22,0,58,Pioneer Kochi Institute of Technology,Tier 2,2,AI_DS,15351,2.76,8.15,1
9,2251,OBC,IT,Maharashtra,5.8,1,103,National Jaipur Polytechnic & Tech Campus,Tier 2,4,IT,5810,3.15,9.12,1
10,1514,EWS,AI_DS,Uttarakhand,5.73,0,96,Metropolitan Lucknow College of Engineering,Tier 3,2,AI_DS,18805,1.39,6.71,1
11,21953,General,CE,Odisha,3.86,1,5,IIT Kanpur,Tier 1,7,CE,228,2.4,23.0,0
12,3262,General,CSE,Maharashtra,2.71,1,54,Apex Kochi University of Engineering,Tier 3,1,CSE,15033,2.93,6.33,1
13,3596,OBC,AI_DS,Maharashtra,3.23,0,83,Zenith Pune College of Engineering,Tier 2,2,AI_DS,5157,3.1,10.72,1
14,14313,General,BIOTECH,Uttar Pradesh,1.84,1,123,Pioneer Bhubaneswar Polytechnic & Tech Campus,Tier 3,10,BIOTECH,12496,1.74,8.04,0
15,20321,OBC,CHE,Rajasthan,4.94,1,86,Zenith Lucknow University of Engineering,Tier 3,8,CHE,23884,3.11,8.03,1
16,5861,OBC,AI_DS,Odisha,3.43,0,97,Pioneer Indore Institute of Technology,Tier 3,2,AI_DS,27138,1.85,4.78,1
17,9552,OBC,EEE,Gujarat,5.24,1,79,Horizon Ahmedabad Polytechnic & Tech Campus,Tier 3,5,EEE,25021,3.22,8.3,1
18,7944,OBC,EEE,Uttar Pradesh,1.07,1,112,Global Noida Polytechnic & Tech Campus,Tier 2,5,EEE,4978,4.2,9.02,0
19,21375,General,CE,Delhi,5.03,1,100,Imperial Bengaluru University of Engineering,Tier 3,7,CE,10606,1.73,7.94,0
20,23925,General,ECE,Telangana,2.72,1,109,Global Ahmedabad Polytechnic & Tech Campus,Tier 3,3,ECE,16492,3.2,5.46,0
21,22576,EWS,AERO,Odisha,1.88,0,74,Summit Jaipur College of Engineering,Tier 3,9,AERO,20502,2.84,5.84,0
22,32606,General,CE,Kerala,5.33,1,79,Horizon Ahmedabad Polytechnic & Tech Campus,Tier 3,7,CE,10315,3.22,8.3,0
23,23064,General,AI_DS,Rajasthan,4.82,0,35,Horizon Bhubaneswar University of Engineering,Tier 2,2,AI_DS,2850,4.23,9.31,0
24,1546,EWS,BIOTECH,Karnataka,2.29,0,12,VNIT Nagpur,Tier 1,10,BIOTECH,337,1.75,13.5,0
25,10346,General,ECE,Kerala,5.02,0,30,Kalinga Institute of Industrial Tech,Tier 2,3,ECE,3153,3.5,8.2,0
26,6380,OBC,ECE,Madhya Pradesh,5.77,1,42,Apex Chennai University of Engineering,Tier 3,3,ECE,27245,2.99,4.5,1
27,4966,General,EEE,Madhya Pradesh,4.6,0,97,Pioneer Indore Institute of Technology,Tier 3,5,EEE,12799,1.85,4.78,1
28,16735,OBC,AERO,Karnataka,2.54,0,36,Pioneer Bhubaneswar Institute of Technology,Tier 3,9,AERO,25019,1.76,5.58,1
29,798,OBC,CHE,Gujarat,2.41,0,135,Pioneer Bhubaneswar University of Engineering,Tier 3,8,CHE,24838,2.29,4.84,1
30,19025,General,ECE,Karnataka,4.39,1,34,Summit Bengaluru Institute of Technology,Tier 3,3,ECE,15893,1.87,8.04,0
31,23947,OBC,BIOTECH,Odisha,1.71,0,133,Pioneer Hyderabad University of Engineering,Tier 3,10,BIOTECH,21246,2.42,6.92,0
32,14034,EWS,CHE,Delhi,3.82,0,104,Summit Jaipur Polytechnic & Tech Campus,Tier 2,8,CHE,3621,3.22,10.0,0
33,5106,General,CHE,Rajasthan,4.49,1,37,National Ahmedabad College of Engineering,Tier 2,8,CHE,2589,3.3,11.15,0
34,14267,OBC,CSE,Uttarakhand,4.41,1,72,Vanguard Hyderabad Polytechnic & Tech Campus,Tier 2,1,CSE,4991,4.33,8.03,0
35,5026,General,CSE,Kerala,5.99,1,8,BITS Pilani,Tier 1,1,CSE,313,5.5,22.0,0
36,4680,ST,CHE,Assam,4.71,1,41,Summit Hyderabad Institute of Technology,Tier 3,8,CHE,66859,2.95,4.93,1
37,3955,General,AERO,Karnataka,1.34,1,40,Summit Chandigarh University of Engineering,Tier 2,9,AERO,2840,2.73,10.5,0
38,7479,OBC,ME,Uttar Pradesh,1.82,0,132,National Bengaluru Polytechnic & Tech Campus,Tier 3,6,ME,21947,1.45,6.27,1
39,3180,General,CE,Kerala,4.23,1,65,Imperial Ahmedabad Institute of Technology,Tier 3,7,CE,11220,1.64,6.24,1
40,7383,General,CSE,Delhi,3.38,1,7,IIT Guwahati,Tier 1,1,CSE,296,2.2,19.5,0
41,13096,General,AI_DS,Assam,1.83,1,117,Imperial Noida University of Engineering,Tier 3,2,AI_DS,13322,1.66,6.43,0
42,1270,General,IT,Karnataka,1.82,0,20,PSG College of Technology,Tier 2,4,IT,3505,1.65,12.5,1
43,10411,General,EEE,Tamil Nadu,5.46,0,84,Imperial Jaipur University of Engineering,Tier 2,5,EEE,2540,3.18,10.79,0
44,19149,OBC,IT,Assam,2.66,0,52,Summit Chandigarh College of Engineering,Tier 2,4,IT,6345,2.66,9.88,0
45,13112,General,IT,Delhi,4.0,0,102,Summit Pune University of Engineering,Tier 3,4,IT,15063,2.74,5.82,1
46,9598,General,BIOTECH,West Bengal,1.15,0,133,Pioneer Hyderabad University of Engineering,Tier 3,10,BIOTECH,11225,2.42,6.92,1
47,1271,EWS,CE,Tamil Nadu,4.96,0,40,Summit Chandigarh University of Engineering,Tier 2,7,CE,3316,2.73,10.5,1
48,1325,ST,CE,Uttar Pradesh,5.38,1,29,SSN College of Engineering,Tier 2,7,CE,10866,1.8,10.5,1
49,2227,SC,ME,Rajasthan,2.77,1,43,Horizon Noida Institute of Technology,Tier 3,6,ME,43578,3.38,6.44,1
50,4491,General,CHE,Telangana,3.5,1,76,National Lucknow Polytechnic & Tech Campus,Tier 3,8,CHE,12769,2.01,7.91,1
51,7527,General,AI_DS,Delhi,5.43,1,48,National Lucknow Institute of Technology,Tier 2,2,AI_DS,2834,3.18,8.49,0
52,2338,General,ME,Tamil Nadu,1.87,0,25,Jadavpur University,Tier 2,6,ME,2316,0.25,15.8,1
53,6790,OBC,CHE,Gujarat,2.35,1,114,Summit Pune College of Engineering,Tier 3,8,CHE,21083,1.31,5.67,1
54,13825,General,BIOTECH,Uttarakhand,3.61,0,50,Apex Chennai Polytechnic & Tech Campus,Tier 3,10,BIOTECH,11144,3.19,5.16,0
55,8504,General,EEE,Kerala,5.07,1,129,Global Chennai College of Engineering,Tier 2,5,EEE,2680,4.47,9.66,0
56,1268,General,BIOTECH,Odisha,2.79,0,65,Imperial Ahmedabad Institute of Technology,Tier 3,10,BIOTECH,11098,1.64,6.24,1
57,7219,General,EEE,Rajasthan,3.85,0,135,Pioneer Bhubaneswar University of Engineering,Tier 3,5,EEE,13568,2.29,4.84,1
58,6893,SC,CE,Gujarat,1.05,1,21,VIT Vellore,Tier 2,7,CE,7934,2.45,9.8,0
59,16245,EWS,BIOTECH,Madhya Pradesh,4.95,1,72,Vanguard Hyderabad Polytechnic & Tech Campus,Tier 2,10,BIOTECH,3322,4.33,8.03,0
60,3957,General,BIOTECH,Tamil Nadu,1.01,0,14,MNNIT Allahabad,Tier 1,10,BIOTECH,218,1.78,15.2,0
61,12274,SC,CHE,Uttar Pradesh,3.52,0,17,BMS College of Engineering,Tier 2,8,CHE,8954,2.9,12.8,0
62,21942,OBC,CSE,Gujarat,3.2,1,27,MS Ramaiah Institute of Technology,Tier 2,1,CSE,5710,3.1,11.2,0
63,29567,General,EEE,West Bengal,5.94,1,63,Horizon Chennai Institute of Technology,Tier 3,5,EEE,13126,1.84,7.59,0
64,4626,OBC,EEE,Maharashtra,1.93,0,121,Global Jaipur University of Engineering,Tier 3,5,EEE,24396,3.1,7.73,1
65,6928,General,CSE,Odisha,3.4,1,84,Imperial Jaipur University of Engineering,Tier 2,1,CSE,3150,3.18,10.79,0
66,7775,General,IT,Telangana,1.31,1,16,RV College of Engineering,Tier 2,4,IT,3413,3.2,15.5,0
67,3863,General,EEE,West Bengal,1.36,1,35,Horizon Bhubaneswar University of Engineering,Tier 2,5,EEE,2977,4.23,9.31,0
68,11664,OBC,ME,Telangana,1.91,0,61,Apex Chennai College of Engineering,Tier 3,6,ME,19847,2.89,8.22,1
69,27282,General,ME,West Bengal,2.87,1,2,IIT Delhi,Tier 1,6,ME,223,2.45,25.0,0
70,2177,General,ECE,Madhya Pradesh,1.85,0,74,Summit Jaipur College of Engineering,Tier 3,3,ECE,14386,2.84,5.84,1
71,8607,OBC,CHE,Uttarakhand,4.89,1,80,Vanguard Lucknow Institute of Technology,Tier 3,8,CHE,22013,1.36,4.66,1
72,25546,EWS,ECE,Delhi,4.14,1,98,Horizon Chandigarh Polytechnic & Tech Campus,Tier 2,3,ECE,4429,3.8,10.81,0
73,1523,OBC,CE,Delhi,1.79,0,67,Imperial Noida University of Engineering,Tier 3,7,CE,18605,2.48,7.16,1
74,2113,General,ME,Odisha,5.33,0,57,Zenith Noida College of Engineering,Tier 3,6,ME,11881,2.66,6.45,1
75,38206,OBC,CHE,West Bengal,5.23,1,7,IIT Guwahati,Tier 1,8,CHE,462,2.2,19.5,0
76,4255,General,CSE,Madhya Pradesh,2.17,0,120,National Bhubaneswar University of Engineering,Tier 3,1,CSE,16441,2.04,8.14,1
77,4206,General,BIOTECH,Rajasthan,4.78,1,117,Imperial Noida University of Engineering,Tier 3,10,BIOTECH,12775,1.66,6.43,1
78,8241,General,EEE,Rajasthan,3.88,1,8,BITS Pilani,Tier 1,5,EEE,270,5.5,22.0,0
79,6164,OBC,AI_DS,Telangana,3.14,1,14,MNNIT Allahabad,Tier 1,2,AI_DS,524,1.78,15.2,0
80,787,OBC,AERO,Uttarakhand,4.14,0,42,Apex Chennai University of Engineering,Tier 3,9,AERO,25031,2.99,4.5,1
81,8470,SC,BIOTECH,Punjab,3.6,0,53,Horizon Chandigarh Institute of Technology,Tier 2,10,BIOTECH,8168,3.67,11.24,0
82,16950,General,CE,Telangana,1.44,1,51,Pioneer Indore Polytechnic & Tech Campus,Tier 3,7,CE,11765,1.88,6.82,0
83,50989,General,CSE,West Bengal,1.46,0,100,Imperial Bengaluru University of Engineering,Tier 3,1,CSE,15402,1.73,7.94,0
84,23257,General,CE,West Bengal,5.03,0,50,Apex Chennai Polytechnic & Tech Campus,Tier 3,7,CE,11150,3.19,5.16,0
85,8483,General,AERO,Madhya Pradesh,5.13,0,94,Summit Kochi Institute of Technology,Tier 2,9,AERO,3064,4.12,7.84,0
86,13164,ST,AERO,West Bengal,5.42,1,129,Global Chennai College of Engineering,Tier 2,9,AERO,14015,4.47,9.66,0
87,977,EWS,AI_DS,Karnataka,2.61,0,53,Horizon Chandigarh Institute of Technology,Tier 2,2,AI_DS,4268,3.67,11.24,0
88,5753,SC,ME,Kerala,3.1,1,51,Pioneer Indore Polytechnic & Tech Campus,Tier 3,6,ME,44671,1.88,6.82,1
89,18455,General,BIOTECH,Telangana,2.78,0,27,MS Ramaiah Institute of Technology,Tier 2,10,BIOTECH,2309,3.1,11.2,0
90,15824,OBC,ME,Karnataka,4.69,0,76,National Lucknow Polytechnic & Tech Campus,Tier 3,6,ME,20184,2.01,7.91,0
91,27629,SC,ME,Rajasthan,4.39,1,125,Summit Kochi University of Engineering,Tier 3,6,ME,41553,2.87,7.12,1
92,20154,General,CSE,Tamil Nadu,5.18,0,5,IIT Kanpur,Tier 1,1,CSE,292,2.4,23.0,0
93,1437,OBC,ECE,Rajasthan,3.99,0,29,SSN College of Engineering,Tier 2,3,ECE,5595,1.8,10.5,1
94,3715,OBC,CE,Kerala,2.22,1,15,IIIT Allahabad,Tier 1,7,CE,395,2.1,20.5,0
95,30645,ST,BIOTECH,Odisha,2.21,1,125,Summit Kochi University of Engineering,Tier 3,10,BIOTECH,61678,2.87,7.12,1
96,2977,General,CSE,Punjab,5.1,0,84,Imperial Jaipur University of Engineering,Tier 2,1,CSE,3150,3.18,10.79,1
97,20232,SC,ECE,Punjab,5.34,1,41,Summit Hyderabad Institute of Technology,Tier 3,3,ECE,52478,2.95,4.93,1
98,2844,General,ECE,Madhya Pradesh,4.74,0,25,Jadavpur University,Tier 2,3,ECE,3311,0.25,15.8,1
99,704,General,CHE,Maharashtra,1.05,0,108,Global Kochi University of Engineering,Tier 2,8,CHE,2703,3.1,11.5,1
100,3740,OBC,CHE,Karnataka,2.78,1,54,Apex Kochi University of Engineering,Tier 3,8,CHE,23686,2.93,6.33,1
101,35927,OBC,CSE,Madhya Pradesh,4.24,1,101,Zenith Noida Institute of Technology,Tier 3,1,CSE,25439,2.7,5.23,0
102,22285,General,BIOTECH,Delhi,1.93,1,80,Vanguard Lucknow Institute of Technology,Tier 3,10,BIOTECH,11769,1.36,4.66,0
103,43814,SC,CSE,Uttarakhand,3.41,0,85,Apex Indore Polytechnic & Tech Campus,Tier 3,1,CSE,53972,3.42,7.73,1
