college_id,college_name,short_name,city,state,tier,nirf_rank,campus_rating,tuition_fee_annual_lakhs,hostel_fee_annual_lakhs,avg_placement_lpa,median_placement_lpa,highest_placement_lpa,placement_rate_pct,accreditation,scholarship_available
1,IIT Bombay,IITB,Mumbai,Maharashtra,Tier 1,3,4.9,2.5,0.9,24.5,21.0,1.2,98.5,NAAC A++,Yes
2,IIT Delhi,IITD,New Delhi,Delhi,Tier 1,2,4.9,2.45,0.85,25.0,21.5,1.35,99.0,NAAC A++,Yes
3,IIT Madras,IITM,Chennai,Tamil Nadu,Tier 1,1,4.95,2.3,0.8,24.0,20.5,1.1,98.0,NAAC A++,Yes
4,IIT Kharagpur,IITKGP,Kharagpur,West Bengal,Tier 1,6,4.8,2.35,0.75,21.5,18.0,0.95,96.5,NAAC A++,Yes
5,IIT Kanpur,IITK,Kanpur,Uttar Pradesh,Tier 1,4,4.85,2.4,0.8,23.0,19.5,1.05,97.5,NAAC A++,Yes
6,IIT Roorkee,IITR,Roorkee,Uttarakhand,Tier 1,8,4.75,2.25,0.75,20.0,17.5,0.9,95.5,NAAC A++,Yes
7,IIT Guwahati,IITG,Guwahati,Assam,Tier 1,7,4.7,2.2,0.7,19.5,17.0,0.88,95.0,NAAC A++,Yes
8,BITS Pilani,BITS,Pilani,Rajasthan,Tier 1,11,4.8,5.5,1.2,22.0,19.0,0.95,97.0,NAAC A++,Yes
9,IIIT Hyderabad,IIITH,Hyderabad,Telangana,Tier 1,15,4.85,3.8,1.1,31.0,28.0,1.02,99.2,NAAC A++,Yes
10,NIT Trichy,NITT,Tiruchirappalli,Tamil Nadu,Tier 1,9,4.7,1.8,0.65,17.5,15.0,0.75,94.5,NAAC A++,Yes
11,NIT Surathkal,NITK,Surathkal,Karnataka,Tier 1,12,4.65,1.85,0.68,16.8,14.5,0.72,93.8,NAAC A++,Yes
12,VNIT Nagpur,VNIT,Nagpur,Maharashtra,Tier 1,41,4.4,1.75,0.6,13.5,11.5,0.55,91.0,NAAC A++,Yes
13,MNIT Jaipur,MNIT,Jaipur,Rajasthan,Tier 1,37,4.45,1.7,0.6,14.0,12.0,0.58,91.5,NAAC A++,Yes
14,MNNIT Allahabad,MNNIT,Prayagraj,Uttar Pradesh,Tier 1,49,4.5,1.78,0.62,15.2,13.0,0.65,92.5,NAAC A++,Yes
15,IIIT Allahabad,IIITA,Prayagraj,Uttar Pradesh,Tier 1,89,4.6,2.1,0.7,20.5,18.0,0.85,96.0,NAAC A++,Yes
16,RV College of Engineering,RVCE,Bengaluru,Karnataka,Tier 2,35,4.6,3.2,1.1,15.5,13.2,0.62,93.0,NAAC A+,Yes
17,BMS College of Engineering,BMSCE,Bengaluru,Karnataka,Tier 2,65,4.45,2.9,1.05,12.8,11.0,0.5,90.5,NAAC A+,Yes
18,College of Engineering Pune,COEP,Pune,Maharashtra,Tier 2,52,4.55,1.45,0.55,13.2,11.5,0.48,92.0,NAAC A+,Yes
19,Veermata Jijabai Technological Institute,VJTI,Mumbai,Maharashtra,Tier 2,58,4.5,1.4,0.52,14.0,12.0,0.52,92.5,NAAC A+,Yes
20,PSG College of Technology,PSG,Coimbatore,Tamil Nadu,Tier 2,63,4.5,1.65,0.6,12.5,10.8,0.45,91.2,NAAC A+,Yes
